source_uid,aria,outer_fold
0f1f9c6c8f9c80e488b79690,Che gelida manina,0
238fc9c6f7d90a54e17f3c20,Che gelida manina,0
24998ecad367cafeb01b0de8,Che gelida manina,0
2ea494dbef8a8bdaa540a37b,Che gelida manina,0
30bec1e63d7714bfcd623708,Che gelida manina,0
31bcf56c201d9d45722885be,Che gelida manina,0
3937b8cef753ae9bd1589d5a,Che gelida manina,0
3cda0b60fb08ab142428082f,Che gelida manina,0
3e160997663a804a50c94c06,Che gelida manina,0
40e68619b32688489070ab55,Che gelida manina,0
41764451b6759f49a59ca632,Che gelida manina,0
5ddf40d30e01a18aa276395f,Che gelida manina,0
5e56d32bc2baf1f237f24ca0,Che gelida manina,0
69fbc83876787010c7206521,Che gelida manina,0
6cfdd6c5ea078e8151909670,Che gelida manina,0
729b37da88c1953ad9466118,Che gelida manina,0
74341ddb5cf6df9ca5d3d358,Che gelida manina,0
7619ce90c570cfba860041ca,Che gelida manina,0
7752109efc64825e299f6c14,Che gelida manina,0
7c4eee63867a559457496a5b,Che gelida manina,0
81c1e7ca23f37486ff628ee1,Che gelida manina,0
83788a26478a721119c4a674,Che gelida manina,0
8857d0942cc2f03e0db0ceea,Che gelida manina,0
8d508e5f259cfffe4dc5c37e,Che gelida manina,0
8d85ed4f64e833a4616217f6,Che gelida manina,0
8fd43eafddaed491c4f7e51e,Che gelida manina,0
92c505a547c92764a8bb7dd6,Che gelida manina,0
9fa6215be533ae2da830f0d6,Che gelida manina,0
a4dcba5789b0384d05422fe4,Che gelida manina,0
a6634b8644cb1e207c7b2700,Che gelida manina,0
a74b7895c35c1445beeca349,Che gelida manina,0
aa6d2d0bba0a8823713311e7,Che gelida manina,0
ada7777e665648127ec16ab1,Che gelida manina,0
add2b4e8cbac7013187047c5,Che gelida manina,0
bfaf3293c99e9179c0ab6391,Che gelida manina,0
cb29d1e3239238a2c72e7cb0,Che gelida manina,0
cb8690cf264786c1ba395c29,Che gelida manina,0
d045ba65ab340cd6d44c8ac8,Che gelida manina,0
d65a621aa1125ef1c1a224dc,Che gelida manina,0
dd6507073637595c4b7678bb,Che gelida manina,0
e14536e93f19377a331d84cd,Che gelida manina,0
e2efa70bde82ed88086c3e76,Che gelida manina,0
e5d0d9bbd6d1a19e955f7dd0,Che gelida manina,0
ef6559ad3b3f06e739ca5955,Che gelida manina,0
f3ea7b1a5b8fda9e72620eb1,Che gelida manina,0
f5776558842f0367d35f2042,Che gelida manina,0
fcb4beaca3d15bdbb16adeca,Che gelida manina,0
09019f249f0c39468f88eb3c,E lucevan le stelle,1
1b28284f091377b1935478ae,E lucevan le stelle,1
28d73831ae3a4d0bc3c94138,E lucevan le stelle,1
2b3161cb43a18184fa9f28e7,E lucevan le stelle,1
30e09841a484535b5670fccb,E lucevan le stelle,1
348930326e191364e66b2516,E lucevan le stelle,1
3d953b78f078b7896bf30b13,E lucevan le stelle,1
615d823d19ebdb6f28e3a3a9,E lucevan le stelle,1
642b9dca16d90a3dec9b6a77,E lucevan le stelle,1
950776972c5784b35b9a3aed,E lucevan le stelle,1
9d054b78e1e4889d1fd23fe8,E lucevan le stelle,1
a1316b52eebe97e0a926a0a8,E lucevan le stelle,1
aeec8b32cd72d06afae18e88,E lucevan le stelle,1
b7a7e8da68274add15b23d9d,E lucevan le stelle,1
b9dc99500a4c601186eaf96c,E lucevan le stelle,1
bb69b6553e2a731910cd5a92,E lucevan le stelle,1
c58fbd2bb1e3aa227fa52664,E lucevan le stelle,1
d2c9190eee821e19a79adfc6,E lucevan le stelle,1
d7154145686fb82ad6e80089,E lucevan le stelle,1
e71f1230ee93ebacbc5f980f,E lucevan le stelle,1
f2912a18a3f84ebf0c21ab7f,E lucevan le stelle,1
fe25f74db0d6287f122181fd,E lucevan le stelle,1
05b0e544fabb6885f0a861eb,Nessun dorma,2
065d1f7bb0237f377998952d,Nessun dorma,2
06b0e728855811d4c876a2b1,Nessun dorma,2
0de01753c9a1b49fccc6d56d,Nessun dorma,2
1168ff40bc1dd268f3f95b65,Nessun dorma,2
12667f43a2f6dd952c933058,Nessun dorma,2
129ca4603f3b551d7c550975,Nessun dorma,2
15c05b2986df9a60f4da8e50,Nessun dorma,2
1ccb0cee1faec3ebe812798c,Nessun dorma,2
240286cf5fc7b45d5f46003d,Nessun dorma,2
2818eff726d00348c7c9c534,Nessun dorma,2
284e9b0b96be1fea835bf045,Nessun dorma,2
2d4ea6339a42843e653e4a79,Nessun dorma,2
34e4384467fda29fa5154c6c,Nessun dorma,2
3c605c11c2a177e172bebce5,Nessun dorma,2
3f917f88360cdf4685b52053,Nessun dorma,2
401d1d7e582ef47ba9e8c13b,Nessun dorma,2
486f1ff5ce583034eea34d9a,Nessun dorma,2
5547412df21216af83dcad0d,Nessun dorma,2
5dc88a39f9f88ead72ba54e8,Nessun dorma,2
5e1a143f73d12b60d5167b4a,Nessun dorma,2
5fd6841a76c6d77a4cfeec92,Nessun dorma,2
60c81b7b0f8e0e061e69a23a,Nessun dorma,2
6648a7df5a5ed689c7a8335e,Nessun dorma,2
